movieName,name,year,rating,genre,image,summary
tt0446313,Dragon Squad ,2005,5.4,"Action,Crime,Drama,10 November 2005 (Hong Kong)
","https://m.media-amazon.com/images/M/MV5BYTlhNWUyYjYtYmE4ZC00YzYzLWFjODQtMWY5NzBkMDMzNjlmXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_UY268_CR8,0,182,268_AL_.jpg","
                    Interpol agents and gangsters battle in Hong Kong.
            "
tt0095158,The Firm             ,,7.3,"Drama,Episode aired 26 February 1989
","https://m.media-amazon.com/images/M/MV5BMTQyNzc1ODA5NV5BMl5BanBnXkFtZTcwNzc2MTIzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg","
                    This is the story of rival ""Firms"" of football supporters, and how one man has a wish to team them up for the European Championships of 1988. However, when this is discussed, the opposing ...
                    "
tt0119329,The Hunchback of Notre Dame ,1997,6.2,"Drama,Romance,TV Movie 16 March 1997
","https://m.media-amazon.com/images/M/MV5BMTMxNTk1MTEyNV5BMl5BanBnXkFtZTcwMDk3MjYyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Based on the novel, a young gypsy becomes a Minister's obsession in 1483. Only the bell ringer and her husband and the court of miracles can save her.
            "
tt0081857,Entertainment Tonight             ,,3.6,"News,TV Series (1981– )
","https://m.media-amazon.com/images/M/MV5BODlmMTRlYzQtYTk4OC00ZWI5LTllNGMtYTFkYWRkNGFjOGFjXkEyXkFqcGdeQXVyODg3NDc1OTE@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    ""Entertainment Tonight"" is the #1 syndicated entertainment newsmagazine in the world.
            "
tt0887719,Blonde Ambition ,2007,3.9,"Comedy,Romance,10 January 2008 (Russia)
","https://m.media-amazon.com/images/M/MV5BNGE2ZWY0YmYtYjc5OC00NjM1LWE2YmUtZmU4NDc4OGZmZjI5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTUzNjcwOTM@._V1_UY268_CR9,0,182,268_AL_.jpg","
                    A young professional woman (Simpson) unwittingly becomes the pawn of two business executives in their bid to oust the head of a mega-conglomerate.
            "
tt0110168,It Runs in the Family ,1994,5.6,"Comedy,Family,23 September 1994 (USA)
","https://m.media-amazon.com/images/M/MV5BZjlmZThiYWUtMTUxNi00MTY3LWI3N2ItNmEzZTk2NTAwZWE0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    It is now summer in the Parker family and the usual number of events is happening in their separate lives. Ralphie is searching for the perfect top to use to beat the school bully, the Old ...
                    "
tt0314630,The Secret Lives of Dentists ,2002,6.4,"Drama,29 August 2003 (USA)
","https://m.media-amazon.com/images/M/MV5BMjE3NTA5NDE0MF5BMl5BanBnXkFtZTcwMjk2MzAwMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    An introspective dentist's suspicions about his wife's infidelity stresses his mental well being and family life to the breaking point.
            "
tt0142911,Thanks of a Grateful Nation ,1998,5.8,"Drama,TV Movie 31 May 1998
","https://m.media-amazon.com/images/M/MV5BMTIxODM1MDkyNl5BMl5BanBnXkFtZTcwOTM1NzcyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg","
                    An examination of the aftermath of Desert Storm and how servicemen and women were affected by it medically.
            "
tt0028313,The Story of Louis Pasteur ,1936,7.3,"Biography,Drama,History,February 1936 (USA)
","https://m.media-amazon.com/images/M/MV5BNzE5YjRjOTItZGFkYS00NzE5LTkzZGUtZmRhMzY5M2I2MTU3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    The biography of the pioneering French microbiologist who helped revolutionize agriculture and medicine.
            "
tt0234889,Thumbtanic ,2000,6.8,"Short,Comedy,9 April 2002 (USA)
","https://m.media-amazon.com/images/M/MV5BMTU0Mzg5Mjg3MV5BMl5BanBnXkFtZTcwMjkyOTQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg","
                    A parody story about the sinking of the unsinkable ship
            "
